column,description
month,Generated feature
mine_id,Generated feature
mine_name,Generated feature
province,Generated feature
district,Generated feature
miner_type,Generated feature
license_status,Generated feature
mine_latitude,Generated feature
mine_longitude,Generated feature
nearest_fidelity_office,Generated feature
distance_to_fidelity_km,Generated feature
nearest_border_post,Generated feature
distance_to_border_km,Generated feature
ore_processed_tonnes,Generated feature
ore_grade_gpt,Generated feature
recovery_rate_pct,Generated feature
estimated_gold_yield_kg,Generated feature
official_delivery_kg,Generated feature
delivery_gap_kg,Generated feature
payment_delay_days,Generated feature
compliance_score,Generated feature
gold_price_usd,Generated feature
fx_market_rate,Generated feature
inflation_rate,Generated feature
rainfall_mm,Generated feature
rainfall_anomaly_mm,Generated feature
macro_energy_availability_index,Generated feature
national_gap_ratio,Generated feature
mirror_trade_gap_ratio,Generated feature
policy_shock_flag,Generated feature
geological_gold_potential_score,Generated feature
risk_flag,Generated feature
