date,gold_price_usd
2020-01,1560.67
2020-02,1597.10
2020-03,1591.93
2020-04,1683.17
2020-05,1715.91
2020-06,1732.22
2020-07,1846.51
2020-08,1968.63
2020-09,1921.92
2020-10,1900.27
2020-11,1866.30
2020-12,1858.42
2021-01,1866.98
2021-02,1808.17
2021-03,1718.23
2021-04,1760.04
2021-05,1850.26
2021-06,1834.57
2021-07,1807.84
2021-08,1785.28
2021-09,1775.14
2021-10,1776.85
2021-11,1821.76
2021-12,1790.43
2022-01,1816.02
2022-02,1856.30
2022-03,1947.83
2022-04,1936.86
2022-05,1848.50
2022-06,1836.57
2022-07,1732.74
2022-08,1764.56
2022-09,1680.78
2022-10,1664.45
2022-11,1725.07
2022-12,1797.55
2023-01,1897.71
2023-02,1854.54
2023-03,1912.73
2023-04,1999.77
2023-05,1992.13
2023-06,1942.9
2023-07,1951.02
2023-08,1918.70
2023-09,1915.95
2023-10,1916.25
2023-11,1984.11
2023-12,2026.18
2024-01,2034.04
2024-02,2023.24
2024-03,2158.01
2024-04,2331.45
2024-05,2351.13
2024-06,2326.44
2024-07,2398.20
2024-08,2470.15
2024-09,2570.55
2024-10,2690.08
2024-11,2651.13
2024-12,2648.01
2025-01,2709.69
2025-02,2894.73
2025-03,2983.25
2025-04,3217.64
2025-05,3309.49
2025-06,3352.66
2025-07,3340.15
2025-08,3368.03
2025-09,3667.68
2025-10,4058.33
2025-11,4087.19
2025-12,4309.23
