year_month,province,monthly_rainfall_mm
2020-01,Bulawayo,108.11111
2020-02,Bulawayo,116.666664
2020-03,Bulawayo,30.944445
2020-04,Bulawayo,27.777777
2020-05,Bulawayo,3.5555556
2020-06,Bulawayo,1.5555555
2020-07,Bulawayo,0.33333334
2020-08,Bulawayo,0.5
2020-09,Bulawayo,8.444445
2020-10,Bulawayo,43.555557
2020-11,Bulawayo,67.388885
2020-12,Bulawayo,235.44444
2021-01,Bulawayo,179.66666
2021-02,Bulawayo,117
2021-03,Bulawayo,16.444445
2021-04,Bulawayo,9.666666
2021-05,Bulawayo,3
2021-06,Bulawayo,1.7777778
2021-07,Bulawayo,0.33333334
2021-08,Bulawayo,0.5
2021-09,Bulawayo,3.2777777
2021-10,Bulawayo,12.722222
2021-11,Bulawayo,71.55556
2021-12,Bulawayo,123.27779
2022-01,Bulawayo,161.16667
2022-02,Bulawayo,19.277777
2022-03,Bulawayo,36.166668
2022-04,Bulawayo,40.277775
2022-05,Bulawayo,3
2022-06,Bulawayo,1.6666666
2022-07,Bulawayo,0.33333334
2022-08,Bulawayo,0.33333334
2022-09,Bulawayo,2.8888888
2022-10,Bulawayo,27.833334
2022-11,Bulawayo,83.77778
2022-12,Bulawayo,48.22222
2023-01,Bulawayo,62.611107
2023-02,Bulawayo,92.833336
2023-03,Bulawayo,28.61111
2023-04,Bulawayo,12.555555
2023-05,Bulawayo,3
2023-06,Bulawayo,1.7777778
2023-07,Bulawayo,0.055555556
2023-08,Bulawayo,0.5
2023-09,Bulawayo,4
2023-10,Bulawayo,34.444443
2023-11,Bulawayo,26.555557
2023-12,Bulawayo,123.27778
2024-01,Bulawayo,97.44444
2024-02,Bulawayo,6.4444447
2024-03,Bulawayo,12.388888
2024-04,Bulawayo,32.333332
2024-05,Bulawayo,2.9444444
2024-06,Bulawayo,2.6111112
2024-07,Bulawayo,0
2024-08,Bulawayo,0.5
2024-09,Bulawayo,3.4444444
2024-10,Bulawayo,20.444445
2024-11,Bulawayo,110.611115
2024-12,Bulawayo,140
2025-01,Bulawayo,213.44444
2025-02,Bulawayo,144.38889
2025-03,Bulawayo,9.333333
2025-04,Bulawayo,65
2025-05,Bulawayo,2.9444444
2025-06,Bulawayo,0.9444445
2025-07,Bulawayo,0.11111111
2025-08,Bulawayo,0.5
2025-09,Bulawayo,4.7222223
2025-10,Bulawayo,16.11111
2025-11,Bulawayo,149
2025-12,Bulawayo,151.61111
2020-01,Harare,233.172378
2020-02,Harare,153.477142
2020-03,Harare,43.0171432
2020-04,Harare,27.0209522
2020-05,Harare,4.84095234
2020-06,Harare,2.96761904
2020-07,Harare,0.4304762
2020-08,Harare,1.88095238
2020-09,Harare,5.52666672
2020-10,Harare,23.058095
2020-11,Harare,60.8076192
2020-12,Harare,225.760956
2021-01,Harare,233.009528
2021-02,Harare,122.061904
2021-03,Harare,69.5514284
2021-04,Harare,13.0600004
2021-05,Harare,5.85142846
2021-06,Harare,2.9514286
2021-07,Harare,0.4304762
2021-08,Harare,1.74571432
2021-09,Harare,2.93523808
2021-10,Harare,33.0704762
2021-11,Harare,83.644762
2021-12,Harare,84.655238
2022-01,Harare,404.532388
2022-02,Harare,58.4923814
2022-03,Harare,75.8685688
2022-04,Harare,70.7771416
2022-05,Harare,3.42190476
2022-06,Harare,2.96761904
2022-07,Harare,0.4304762
