month,mine_id,mine_name,province,district,miner_type,license_status,mine_latitude,mine_longitude,nearest_fidelity_office,distance_to_fidelity_km,nearest_border_post,distance_to_border_km,ore_processed_tonnes,ore_grade_gpt,recovery_rate_pct,estimated_gold_yield_kg,official_delivery_kg,delivery_gap_kg,payment_delay_days,gold_price_usd,fx_market_rate,inflation_rate,rainfall_mm,national_gap_ratio,mirror_trade_gap_ratio,policy_shock_flag,formal_delivery_attractiveness_score,macro_instability_index,risk_flag
2020-01,MINE_001,Bubi ASM Cluster 001,Matabeleland North,Bubi,ASM,Cooperative,-19.35098575409663,27.458520709648646,Gwanda,246.5,Plumtree,131.3,17.0,1.55,58.5,0.015,0.012,0.003,3,1399.13,88.66,618.36,167.9,0.172,0.098,0,37.7,62.72,0
2020-01,MINE_002,Kadoma ASM Cluster 002,Mashonaland West,Kadoma,ASM,Licensed,-17.305693438569794,30.25690895692241,Harare,105.5,Chirundu,210.8,11.27,3.16,57.9,0.021,0.015,0.006,22,1399.13,88.66,618.36,162.3,0.172,0.098,0,66.9,62.72,0
2020-01,MINE_003,Bubi ASM Cluster 003,Matabeleland North,Bubi,ASM,Licensed,-19.570246012417,27.429758912915247,Gwanda,232.1,Plumtree,109.4,3.98,2.89,73.5,0.008,0.007,0.002,28,1399.13,88.66,618.36,199.4,0.172,0.098,0,35.6,62.72,1
2020-01,MINE_004,Kwekwe ASM Cluster 004,Midlands,Kwekwe,ASM,Licensed,-18.52623615534778,30.030230418745873,Kadoma,25.0,Mutare,297.1,18.55,3.26,80.7,0.049,0.042,0.007,29,1399.13,88.66,618.36,148.8,0.172,0.098,0,76.0,62.72,0
2020-01,MINE_005,Gwanda Gold Mine 005,Matabeleland South,Gwanda,LSM,Licensed,-21.140842315780485,29.56276801307579,Gwanda,65.3,Beitbridge,129.2,27.1,2.61,72.6,0.051,0.031,0.021,42,1399.13,88.66,618.36,144.1,0.172,0.098,0,54.9,62.72,1
2020-01,MINE_006,Hwange ASM Cluster 006,Matabeleland North,Hwange,ASM,Cooperative,-19.63902530784374,27.360281073928924,Gwanda,233.2,Plumtree,105.9,19.95,3.1,71.4,0.044,0.025,0.019,42,1399.13,88.66,618.36,165.0,0.172,0.098,0,1.4,62.72,1
2020-01,MINE_007,Shurugwi ASM Cluster 007,Midlands,Shurugwi,ASM,Cooperative,-18.92741131853019,29.22601592660266,Kwekwe,64.8,Plumtree,233.2,10.39,1.75,64.6,0.012,0.01,0.002,38,1399.13,88.66,618.36,149.1,0.172,0.098,0,39.0,62.72,1
2020-01,MINE_008,Mazowe ASM Cluster 008,Mashonaland Central,Mazowe,ASM,Cooperative,-17.717475349753908,31.031313741227706,Harare,12.7,Mutare,228.9,6.72,1.91,75.9,0.01,0.005,0.005,28,1399.13,88.66,618.36,164.4,0.172,0.098,0,59.5,62.72,0
2020-01,MINE_009,Kwekwe ASM Cluster 009,Midlands,Kwekwe,ASM,Cooperative,-19.303849336100328,29.894274199778582,Kwekwe,42.5,Plumtree,265.6,6.78,2.49,60.3,0.01,0.004,0.006,34,1399.13,88.66,618.36,201.2,0.172,0.098,0,47.5,62.72,1
2020-01,MINE_010,Shamva ASM Cluster 010,Mashonaland Central,Shamva,ASM,Licensed,-17.47240722265636,30.776308889599413,Harare,50.0,Chirundu,267.1,4.47,2.8,78.3,0.01,0.007,0.003,15,1399.13,88.66,618.36,195.7,0.172,0.098,0,85.0,62.72,0
2020-01,MINE_011,Hwange ASM Cluster 011,Matabeleland North,Hwange,ASM,Pending,-19.060305369323533,27.43226710985404,Kwekwe,264.3,Plumtree,163.1,4.05,4.13,77.6,0.013,0.003,0.01,5,1399.13,88.66,618.36,182.9,0.172,0.098,0,32.1,62.72,0
2020-01,MINE_012,Gweru Gold Mine 012,Midlands,Gweru,LSM,Licensed,-18.979741538593622,29.372575544135962,Kwekwe,48.9,Plumtree,240.4,47.12,3.78,81.9,0.146,0.134,0.012,18,1399.13,88.66,618.36,207.5,0.172,0.098,0,82.2,62.72,0
